,cityName,countryCode,Latitude,Longitude,Temperature,Humidity,Cloudiness,WindSpeed,TimeStamp
120,Emerald,au,-23.53,148.17,85.18,65.0,8.0,4.72,1507171459.0
121,Petropavlovsk-Kamchatskiy,ru,53.05,158.65,51.8,66.0,75.0,4.47,1507168800.0
122,Jutai,br,-5.18,-68.9,72.49,98.0,76.0,6.17,1507171459.0
123,Sao Filipe,cv,14.9,-24.5,79.69,98.0,36.0,9.42,1507171460.0
124,Tuatapere,nz,-46.13,167.68,49.05,97.0,32.0,4.5,1507171460.0
125,Arona,es,28.1,-16.68,67.89,68.0,20.0,3.36,1507170600.0
126,Krasnyy Bor,ru,59.68,30.67,46.4,93.0,75.0,4.47,1507168800.0
127,Kysyl-Syr,ru,63.9,122.76,27.49,85.0,76.0,6.17,1507171462.0
128,Itabira,jo,-19.62,-43.23,62.68,96.0,92.0,5.95,1507171463.0
129,Fairview,ca,56.07,-118.39,53.6,64.0,20.0,3.36,1507168800.0
130,Wagar,sd,16.15,36.2,69.57,62.0,0.0,5.73,1507171464.0
131,Beringovskiy,ru,63.05,179.32,41.13,100.0,92.0,36.71,1507171464.0
132,Paracuru,br,-3.41,-39.03,80.6,74.0,20.0,18.34,1507168800.0
133,Grindavik,is,63.84,-22.43,45.55,87.0,75.0,12.75,1507168800.0
134,Cordoba,es,37.88,-4.77,66.2,68.0,0.0,1.36,1507170600.0
135,Namibe,ao,-15.2,12.15,67.36,100.0,0.0,6.96,1507171469.0
136,Sinnamary,gf,5.38,-52.95,81.94,95.0,8.0,10.54,1507171469.0
137,Ketchikan,us,55.34,-131.65,51.22,71.0,1.0,8.05,1507168560.0
138,Lengshuitan,cn,26.41,111.6,64.57,89.0,68.0,4.72,1507171470.0
139,Basco,ph,20.45,121.97,85.99,98.0,88.0,21.5,1507171470.0
140,Hobart,au,-42.88,147.33,55.4,82.0,75.0,10.29,1507170600.0
141,Cosoleacaque,mx,18.0,-94.62,76.54,94.0,68.0,5.39,1507171471.0
142,Prainha,br,-1.8,-53.48,82.75,72.0,8.0,5.06,1507171471.0
143,Tehachapi,us,35.13,-118.45,65.26,25.0,1.0,9.17,1507170000.0
144,Grande Riviere Sud Est,mu,-20.29,57.78,71.6,78.0,75.0,18.34,1507168800.0
145,Rimavska Sobota,sk,48.38,20.02,46.03,83.0,56.0,6.06,1507171473.0
146,Santa Rosa,ar,-36.62,-64.28,70.15,21.0,92.0,22.06,1507171473.0
147,Andros Town,bs,24.7,-77.77,77.0,94.0,90.0,9.17,1507168800.0
148,Vagur,fo,61.47,-6.81,50.53,100.0,88.0,28.21,1507171474.0
149,Haines Junction,ca,60.75,-137.51,39.37,90.0,76.0,2.37,1507171474.0
150,Tenno,jp,39.9,139.97,58.12,54.0,75.0,2.24,1507168800.0
151,Westport,nz,-41.75,171.6,54.63,84.0,32.0,2.59,1507171478.0
152,Cobija,bo,-11.03,-68.77,74.52,94.0,0.0,2.04,1507171479.0
153,El Cobre,cu,20.05,-75.95,77.0,100.0,40.0,3.36,1507168380.0
154,Isangel,vu,-19.55,169.27,75.46,100.0,48.0,14.79,1507171480.0
155,Mariehamn,fi,60.1,19.93,41.0,100.0,75.0,10.2,1507170000.0
156,Barentu,er,15.11,37.59,59.08,81.0,0.0,2.59,1507171481.0
157,San Patricio,mx,19.22,-104.7,82.4,83.0,90.0,6.93,1507167900.0
158,Barretos,br,-20.56,-48.57,71.05,76.0,0.0,12.66,1507171482.0
159,Vila Franca do Campo,pt,37.72,-25.43,69.8,73.0,75.0,5.82,1507170600.0
160,Grand-Santi,gf,4.25,-54.38,85.5,54.0,20.0,4.94,1507171483.0
161,Tucumcari,us,35.17,-103.72,69.8,88.0,75.0,4.7,1507168380.0
162,Largeau,td,17.93,19.1,80.55,21.0,0.0,16.24,1507171484.0
163,Saint-Philippe,re,-21.36,55.77,71.6,73.0,90.0,21.92,1507168800.0
164,Sitka,us,57.05,-135.33,48.9,93.0,90.0,16.46,1507169160.0
165,Melfi,td,11.06,17.94,72.27,93.0,48.0,5.61,1507171754.0
166,Hithadhoo,mv,-0.6,73.08,84.73,100.0,68.0,20.27,1507171754.0
167,Tilichiki,ru,60.47,166.1,35.37,79.0,36.0,14.0,1507171755.0
168,La Ronge,ca,55.1,-105.28,37.4,74.0,20.0,5.82,1507168800.0
169,Dongsheng,cn,39.82,109.98,50.53,71.0,24.0,14.56,1507171755.0
170,Salur,in,18.53,83.22,78.7,99.0,12.0,4.16,1507171756.0
171,Hereford,us,34.82,-102.4,68.0,100.0,75.0,8.05,1507169700.0
172,Funafuti,tv,-8.52,179.13,80.6,88.0,90.0,8.97,1507170000.0
